1.196262249151788410e+03,2.294051793852174655e+07,3.874700805093159506e+00,2.909499173922876025e+01,1.657964214519949451e+02
1.262791147532104333e+03,2.064026831808836013e+07,3.218746080321901903e+00,2.093118657417402773e+01,1.233578026704238795e+02
1.163623876719385180e+03,2.263009470658393949e+07,2.861390241863674966e+00,1.894207241260834707e+01,2.920335274640940497e+02
1.089181044222227001e+03,2.128947146118239313e+07,3.642136597664910269e+00,1.523741351304537162e+01,2.050722256083436719e+02
1.135448975570001267e+03,2.157663807458089292e+07,3.776812589890484517e+00,2.595405187866025187e+01,2.481260773961745656e+02
1.046820093870275969e+03,2.520986683549584448e+07,2.714374020497392070e+00,2.494544721813133492e+01,1.071365837266158536e+02
1.133209190269950795e+03,2.077445629273382202e+07,3.297767480191467371e+00,1.680873094583714078e+01,1.927175918072595664e+02
1.185320850720547469e+03,2.034379274430514872e+07,3.120610000320616528e+00,2.610520619306377910e+01,2.209439114368631749e+02
1.293651119093942498e+03,2.468815947652225941e+07,3.529668170061148746e+00,1.718499357132804306e+01,2.347868148878400234e+02
1.067570468459798121e+03,2.370398135717484355e+07,3.935011812820999211e+00,2.395100056712350067e+01,1.796875267062087573e+02
1.030186756880807479e+03,2.357158985049281642e+07,2.910890218593503498e+00,2.711930701674954491e+01,2.686203193308072059e+02
1.233869463523927607e+03,2.497455076743551716e+07,3.712620576270021289e+00,1.825904964238889860e+01,1.436684517112346100e+02
1.270687111171615015e+03,2.420816252117137611e+07,3.313321914311077698e+00,2.816821107491593068e+01,1.301061464648231834e+02
1.103466041217263182e+03,2.212672791873728856e+07,3.043585502506299001e+00,2.163978872386909558e+01,2.100713443017313580e+02
1.223430627332637869e+03,2.231037966936131194e+07,3.459816686116543138e+00,2.249270803844400746e+01,2.765907317145206434e+02
